method,run,score,scoreMaximo,timeMs,typeRedundancy,team
sa,0,190.000,194,363.40,1,"Starmie|Skuntank|Garchomp|Ursaluna"
sa,1,189.000,194,310.80,1,"Garchomp|Golisopod|Vikavolt"
sa,2,191.000,194,396.80,1,"Garchomp|Musharna|Clefable|Skuntank|Mamoswine"
sa,3,188.000,194,360.80,0,"Rapidash|Skuntank|Vikavolt|Dondozo"
sa,4,190.000,194,315.50,0,"Tinkaton|Golisopod|Ursaluna"
sa,5,186.000,194,299.30,0,"Golisopod|Reshiram"
sa,6,189.000,194,317.50,1,"Garchomp|Vikavolt|Golisopod"
sa,7,189.000,194,426.70,1,"Infernape|Skuntank|Starmie|Metagross|Primarina"
sa,8,189.000,194,374.70,0,"Vikavolt|Tinkaton|Krookodile|Starmie"
sa,9,187.000,194,321.60,0,"Volcarona|Metagross|Dondozo"
sa,10,189.000,194,315.80,1,"Vikavolt|Golisopod|Garchomp"
sa,11,190.000,194,366.00,0,"Orbeetle|Garchomp|Skuntank|Primarina"
sa,12,191.000,194,374.40,0,"Charizard|Skuntank|Vikavolt|Ursaluna"
sa,13,191.000,194,366.30,0,"Skuntank|Vikavolt|Ursaluna|Charizard"
sa,14,186.000,194,248.60,0,"Palkia|Skuntank"
sa,15,190.000,194,371.90,0,"Charizard|Skuntank|Ursaluna|Metagross"
sa,16,191.000,194,427.60,2,"Starmie|Ursaluna|Venusaur|Skuntank|Musharna"
sa,17,188.000,194,242.30,0,"Palkia|Starmie"
sa,18,189.000,194,311.50,1,"Golisopod|Garchomp|Vikavolt"
sa,19,189.000,194,311.90,1,"Garchomp|Vikavolt|Golisopod"
sa,20,190.000,194,369.10,0,"Skuntank|Garchomp|Infernape|Primarina"
sa,21,189.000,194,311.30,1,"Vikavolt|Garchomp|Golisopod"
sa,22,186.000,194,246.20,0,"Archeops|Reshiram"
sa,23,191.000,194,383.40,0,"Charizard|Skuntank|Ursaluna|Vikavolt"
sa,24,190.000,194,388.00,0,"Skuntank|Garchomp|Primarina|Infernape"
sa,25,189.000,194,367.60,1,"Golisopod|Vikavolt|Garchomp"
sa,26,191.000,194,500.60,1,"Golisopod|Skuntank|Garchomp|Starmie|Musharna"
sa,27,187.000,194,372.80,1,"Starmie|Kingdra|Volcarona|Vikavolt"
sa,28,190.000,194,370.50,0,"Garchomp|Infernape|Primarina|Skuntank"
sa,29,190.000,194,363.40,1,"Musharna|Skuntank|Ursaluna|Garchomp"
ga,0,184.000,194,25449.20,0,"Dondozo|Infernape|Gardevoir|Skuntank"
ga,1,180.000,194,16748.70,0,"Ursaluna|Kingdra|Torkoal"
ga,2,180.000,194,18797.30,0,"Garchomp|Charizard|Vikavolt"
ga,3,177.000,194,18053.20,0,"Victini|Mamoswine|Skuntank"
ga,4,179.000,194,14878.10,0,"Rayquaza|Starmie"
ga,5,185.000,194,27695.30,1,"Ursaluna|Ariados|Electivire|Pidgeot|Starmie"
ga,6,185.000,194,23618.70,0,"Garbodor|Vikavolt|Tinkaton|Starmie"
ga,7,182.000,194,19512.70,0,"Blastoise|Garchomp|Volcarona"
ga,8,186.000,194,28656.20,1,"Ursaluna|Dachsbun|Skuntank|Orbeetle|Starmie"
ga,9,187.000,194,24663.90,2,"Musharna|Pidgeot|Florges|Ursaluna|Starmie"
ga,10,185.000,194,18035.50,1,"Primarina|Haxorus|Tinkaton"
ga,11,179.000,194,6991.70,0,"Eternatus"
ga,12,179.000,194,17342.80,2,"Dondozo|Golisopod|Centiskorsh"
ga,13,186.000,194,21438.70,2,"Ursaluna|Pidgeot|Vikavolt|Leavanny"
ga,14,180.000,194,13633.10,0,"Victini|Ursaluna"
ga,15,184.000,194,13115.90,0,"Reshiram|Mamoswine"
ga,16,186.000,194,13433.00,0,"Palkia|Skuntank"
ga,17,178.000,194,7072.20,0,"Eternatus"
ga,18,186.000,194,13840.40,0,"Palkia|Charizard"
ga,19,182.000,194,34480.80,2,"Starmie|Skuntank|Venusaur|Emboar|Thievul|Clefable"
ga,20,185.000,194,14193.30,0,"Palkia|Clefable"
ga,21,187.000,194,17182.60,0,"Palkia|Musharna|Skuntank"
ga,22,186.000,194,13163.00,0,"Palkia|Skuntank"
ga,23,186.000,194,17394.60,0,"Palkia|Skuntank|Musharna"
ga,24,185.000,194,14080.70,0,"Palkia|Clefable"
ga,25,184.000,194,24274.30,2,"Kingdra|Skuntank|Musharna|Starmie|Garchomp"
ga,26,186.000,194,20207.00,0,"Golisopod|Tinkaton|Garchomp"
ga,27,180.000,194,23414.40,1,"Landorus|Clefable|Musharna|Starmie"
ga,28,189.000,194,26286.60,1,"Ursaluna|Florges|Skuntank|Starmie|Musharna"
ga,29,180.000,194,24385.10,2,"Gardevoir|Kingdra|Delphox|Starmie"
greedy-exato,0,186.000,194,4.20,0,"Palkia|Charizard"
greedy-nn,0,185.000,194,33.60,1,"Reshiram|Kingdra"
