method,run,score,scoreMaximo,timeMs,typeRedundancy,team
sa,0,174.000,194,230.30,4,"Kricketune|Volcarona|Orbeetle|Ariados|Golisopod"
sa,1,180.000,194,238.20,2,"Volcarona|Golisopod|Vikavolt"
sa,2,180.000,194,270.50,3,"Vikavolt|Golisopod|Volcarona|Kricketune"
sa,3,180.000,194,237.60,2,"Volcarona|Vikavolt|Golisopod"
sa,4,180.000,194,236.00,2,"Vikavolt|Volcarona|Golisopod"
sa,5,180.000,194,273.80,3,"Kricketune|Volcarona|Golisopod|Vikavolt"
sa,6,180.000,194,235.50,2,"Golisopod|Volcarona|Vikavolt"
sa,7,180.000,194,276.20,3,"Kricketune|Golisopod|Vikavolt|Volcarona"
sa,8,180.000,194,272.30,3,"Vikavolt|Volcarona|Golisopod|Ariados"
sa,9,180.000,194,235.00,2,"Golisopod|Vikavolt|Volcarona"
sa,10,180.000,194,234.30,2,"Vikavolt|Golisopod|Volcarona"
sa,11,180.000,194,234.00,2,"Volcarona|Golisopod|Vikavolt"
sa,12,180.000,194,267.00,3,"Vikavolt|Golisopod|Kricketune|Volcarona"
sa,13,180.000,194,270.10,3,"Ariados|Vikavolt|Golisopod|Volcarona"
sa,14,173.000,194,231.50,4,"Vikavolt|Kricketune|Ariados|Lokix|Golisopod"
sa,15,180.000,194,231.80,2,"Golisopod|Volcarona|Vikavolt"
sa,16,180.000,194,230.30,2,"Vikavolt|Volcarona|Golisopod"
sa,17,180.000,194,226.80,2,"Golisopod|Vikavolt|Volcarona"
sa,18,180.000,194,264.00,3,"Ariados|Volcarona|Vikavolt|Golisopod"
sa,19,180.000,194,260.50,3,"Golisopod|Kricketune|Vikavolt|Volcarona"
sa,20,180.000,194,227.60,2,"Golisopod|Volcarona|Vikavolt"
sa,21,180.000,194,263.60,3,"Ariados|Golisopod|Volcarona|Vikavolt"
sa,22,180.000,194,229.70,2,"Golisopod|Vikavolt|Volcarona"
sa,23,180.000,194,229.80,2,"Volcarona|Golisopod|Vikavolt"
sa,24,180.000,194,226.60,2,"Golisopod|Vikavolt|Volcarona"
sa,25,180.000,194,228.20,2,"Volcarona|Vikavolt|Golisopod"
sa,26,180.000,194,228.00,2,"Golisopod|Vikavolt|Volcarona"
sa,27,180.000,194,262.60,3,"Vikavolt|Ariados|Golisopod|Volcarona"
sa,28,180.000,194,260.90,3,"Volcarona|Golisopod|Vikavolt|Kricketune"
sa,29,180.000,194,265.50,3,"Golisopod|Volcarona|Ariados|Vikavolt"
ga,0,175.000,194,23919.80,3,"Golisopod|Volcarona|Kricketune|scolipede"
ga,1,173.000,194,25071.20,3,"Volcarona|Golisopod|Leavanny|Orbeetle"
ga,2,174.000,194,23526.50,3,"Volcarona|Vikavolt|Golisopod|Kricketune"
ga,3,172.000,194,23656.40,3,"Vikavolt|Golisopod|Kricketune|Centiskorsh"
ga,4,174.000,194,24952.80,3,"Volcarona|Illumise|Orbeetle|Golisopod"
ga,5,174.000,194,22117.00,3,"Golisopod|Leavanny|Volcarona|Orbeetle"
ga,6,171.000,194,26838.80,3,"Ribombee|Volcarona|Golisopod|Ariados"
ga,7,173.000,194,19800.10,2,"Golisopod|Vikavolt|Volcarona"
ga,8,174.000,194,23790.30,3,"Golisopod|Orbeetle|Volcarona|Illumise"
ga,9,173.000,194,25334.60,3,"Volcarona|Orbeetle|Golisopod|Leavanny"
ga,10,172.000,194,29665.50,4,"Volcarona|Ariados|Golisopod|Kricketune|Leavanny"
ga,11,171.000,194,18918.70,2,"Volcarona|Golisopod|Pinsir"
ga,12,176.000,194,23330.60,3,"scolipede|Volcarona|Kricketune|Golisopod"
ga,13,171.000,194,18198.20,2,"Volcarona|Golisopod|Ribombee"
ga,14,171.000,194,24646.80,3,"Lokix|Volcarona|Golisopod|Leavanny"
ga,15,174.000,194,19440.90,2,"Golisopod|Volcarona|scolipede"
ga,16,172.000,194,28215.60,4,"Ariados|Volcarona|Orbeetle|Kricketune|Golisopod"
ga,17,162.000,194,19232.40,2,"Kleavor|Golisopod|Leavanny"
ga,18,169.000,194,23229.80,3,"Golisopod|Orbeetle|Centiskorsh|Lokix"
ga,19,171.000,194,23304.60,3,"Volcarona|Vikavolt|Leavanny|Orbeetle"
ga,20,172.000,194,28650.40,4,"Kricketune|Golisopod|Volcarona|Orbeetle|Ariados"
ga,21,163.000,194,18475.90,2,"Kleavor|Volcarona|Leavanny"
ga,22,162.000,194,17505.20,2,"Golisopod|Buzzwole|Kricketune"
ga,23,160.000,194,17609.50,2,"Buzzwole|Kricketune|Golisopod"
ga,24,172.000,194,28859.20,4,"Ariados|Volcarona|Leavanny|Kricketune|Golisopod"
ga,25,170.000,194,28456.10,4,"Volcarona|Ariados|Vikavolt|Kricketune|Orbeetle"
ga,26,165.000,194,27952.10,4,"Ariados|Golisopod|Kricketune|Centiskorsh|Lokix"
ga,27,172.000,194,24490.60,3,"Volcarona|Golisopod|Vikavolt|Kricketune"
ga,28,170.000,194,22748.80,3,"Centiskorsh|Golisopod|Kricketune|Ribombee"
ga,29,170.000,194,18328.80,2,"Pinsir|Volcarona|Golisopod"
greedy-exato,0,179.000,194,4.20,3,"Golisopod|Vikavolt|Volcarona|Ariados"
greedy-nn,0,179.000,194,11.80,3,"Golisopod|Vikavolt|Volcarona|Ariados"
