Name,Type,Category,Power,Accuracy,Source
Ancient Power,Rock,Special,60,100,Level
Blue Flare,Fire,Special,130,85,Level
Body Press,Fighting,Physical,80,100,TM
Body Slam,Normal,Physical,85,100,TM
Breaking Swipe,Dragon,Physical,60,100,TM
Brutal Swing,Dark,Physical,60,100,TM
Confide,Normal,Status,0,0,TM
Crunch,Dark,Physical,80,100,"Level, TM"
Cut,Normal,Physical,50,95,TM
Defog,Flying,Status,0,0,TM
Double Team,Normal,Status,0,0,TM
Double-Edge,Normal,Physical,120,100,TM
Draco Meteor,Dragon,Special,130,90,TM
Dragon Breath,Dragon,Special,60,100,Level
Dragon Cheer,Dragon,Status,0,0,TM
Dragon Claw,Dragon,Physical,80,100,TM
Dragon Dance,Dragon,Status,0,0,TM
Dragon Pulse,Dragon,Special,85,100,"Level, TM"
Dragon Tail,Dragon,Physical,60,90,TM
Dual Wingbeat,Flying,Physical,40,90,TM
Earth Power,Ground,Special,90,100,TM
Echoed Voice,Normal,Special,40,100,TM
Endure,Normal,Status,0,0,TM
Extrasensory,Psychic,Special,80,100,Level
Facade,Normal,Physical,70,100,TM
Fire Blast,Fire,Special,110,85,"Level, TM"
Fire Fang,Fire,Physical,65,95,"Level, TM"
Flame Charge,Fire,Physical,50,100,TM
Flamethrower,Fire,Special,90,100,"Level, TM"
Flare Blitz,Fire,Physical,120,100,TM
Fling,Dark,Physical,0,100,TM
Fly,Flying,Physical,90,95,TM
Focus Blast,Fighting,Special,120,70,TM
Frustration,Normal,Physical,0,100,TM
Fusion Flare,Fire,Special,100,100,Level
Giga Impact,Normal,Physical,150,90,TM
Heat Crash,Fire,Physical,0,100,TM
Heat Wave,Fire,Special,95,90,TM
Helping Hand,Normal,Status,0,0,TM
Hidden Power,Normal,Special,60,100,TM
Hone Claws,Dark,Status,0,0,TM
Hyper Beam,Normal,Special,150,90,TM
Hyper Voice,Normal,Special,90,100,"Level, TM"
Imprison,Psychic,Status,0,100,"Level, TM"
Incinerate,Fire,Special,60,100,TM
Light Screen,Psychic,Status,0,0,TM
Mystical Fire,Fire,Special,75,100,TM
Noble Roar,Normal,Status,0,100,Level
Outrage,Dragon,Physical,120,100,"Level, TM"
Overheat,Fire,Special,130,90,TM
Payback,Dark,Physical,50,100,TM
Protect,Normal,Status,0,0,TM
Psychic,Psychic,Special,90,100,TM
Rain Dance,Water,Status,0,0,TM
Reflect,Psychic,Status,0,0,TM
Rest,Psychic,Status,0,0,TM
Return,Normal,Physical,0,100,TM
Rock Slide,Rock,Physical,75,90,TM
Rock Smash,Fighting,Physical,40,100,TM
Rock Tomb,Rock,Physical,60,95,TM
Roost,Flying,Status,0,0,TM
Round,Normal,Special,60,100,TM
Safeguard,Normal,Status,0,0,TM
Scale Shot,Dragon,Physical,25,90,TM
Scorching Sands,Ground,Special,70,100,TM
Secret Power,Normal,Physical,70,100,TM
Shadow Ball,Ghost,Special,80,100,TM
Shadow Claw,Ghost,Physical,70,100,TM
Slash,Normal,Physical,70,100,Level
Sleep Talk,Normal,Status,0,0,TM
Snore,Normal,Special,50,100,TM
Solar Beam,Grass,Special,120,100,TM
Steel Wing,Steel,Physical,70,90,TM
Stone Edge,Rock,Physical,100,80,TM
Strength,Normal,Physical,80,100,TM
Substitute,Normal,Status,0,0,TM
Sunny Day,Fire,Status,0,0,TM
Swagger,Normal,Status,0,85,TM
Swift,Normal,Special,60,0,TM
Tailwind,Flying,Status,0,0,TM
Tera Blast,Normal,Special,80,100,TM
Toxic,Poison,Status,0,90,TM
Weather Ball,Normal,Special,50,100,TM
Will-O-Wisp,Fire,Status,0,85,TM
Zen Headbutt,Psychic,Physical,80,90,TM
